id,name,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport
1,Chateau-Arnoux-St-Auban,44.08179,6.001625,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
2,Chateau-Arnoux-St-Auban,44.0615651,5.9973734,1,FR,Europe/Paris,FALSE,TRUE,FALSE
3,Chateau-Arnoux Mairie,44.063863,6.011248,1,FR,Europe/Paris,FALSE,FALSE,FALSE
4,Digne-les-Bains,44.35,6.35,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
6,Digne-les-Bains,44.088710133980605,6.222982406616211,4,FR,Europe/Paris,FALSE,TRUE,FALSE
7,La Crau,43.1449352,6.0687663,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
8,Aire-sur-l'Adour,43.703854,-0.258269,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
9,Cagnes-sur-Mer,43.65813,7.14864,5768,FR,Europe/Paris,FALSE,TRUE,FALSE
10,Menton,43.776486,7.504349,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
11,Menton,43.774444,7.4933,10,FR,Europe/Paris,FALSE,TRUE,FALSE
12,Menton-Garavan,43.785202,7.517297,10,FR,Europe/Paris,FALSE,FALSE,FALSE
16,Vievola,NA,NA,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
17,Vievola,NA,NA,16,FR,Europe/Paris,FALSE,FALSE,FALSE
18,Vievola,44.1125561,7.5627976,16,FR,Europe/Paris,FALSE,TRUE,FALSE
19,Mandelieu-la-Napoule,43.523903,6.941313,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
23,Decazeville,44.55,2.25,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
24,Decazeville Centre,44.561434,2.255896,23,FR,Europe/Paris,FALSE,TRUE,FALSE
25,Viviez-Decazeville,44.5555678,2.2182582,23,FR,Europe/Paris,FALSE,FALSE,FALSE
26,Decazeville Fontvergne,44.55563533558816,2.263741493225097,23,FR,Europe/Paris,FALSE,FALSE,FALSE
27,St-Sever Calvados,48.833333,-1.033333,29,FR,Europe/Paris,FALSE,FALSE,FALSE
28,St-Sever Centre,48.839517,-1.049283,29,FR,Europe/Paris,FALSE,FALSE,FALSE
29,St-Sever Calvados,48.843608,-1.0516979,NA,FR,Europe/Paris,FALSE,TRUE,FALSE
30,Vire,48.83897,-0.88928,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
31,Vire Centre,48.837638,-0.880538,30,FR,Europe/Paris,FALSE,FALSE,FALSE
32,Vire,48.846329,-0.882884,30,FR,Europe/Paris,FALSE,TRUE,FALSE
33,Marans,46.3,-1,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
34,Marans Centre,46.290815,-0.979212,33,FR,Europe/Paris,FALSE,FALSE,FALSE
35,Marans,46.30433,-1.00127,33,FR,Europe/Paris,FALSE,TRUE,FALSE
36,Uzerche,45.4407088,1.5702735,5607,FR,Europe/Paris,FALSE,TRUE,FALSE
38,Dijon Ville,47.32337,5.027208,1782,FR,Europe/Paris,FALSE,TRUE,FALSE
40,Pontrieux,48.7,-3.166667,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
41,Pontrieux Halte,48.6980361,-3.1644959,40,FR,Europe/Paris,FALSE,FALSE,FALSE
42,Pontrieux,48.7056437,-3.1574281,40,FR,Europe/Paris,FALSE,TRUE,FALSE
43,Auboue,49.216163,5.9714608,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
44,Perigueux,45.187408,0.707879,4957,FR,Europe/Paris,TRUE,FALSE,FALSE
45,Besancon Viotte,47.247019,6.022003,5029,FR,Europe/Paris,FALSE,TRUE,FALSE
47,Douarnenez Office de Tourisme,48.09336269013469,-4.33037281,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
50,Concarneau,47.866667,-3.916667,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
51,Concarneau Port,47.867055,-3.927593,50,FR,Europe/Paris,FALSE,FALSE,FALSE
52,Concarneau,47.87767079094932,-3.920531273,50,FR,Europe/Paris,FALSE,FALSE,FALSE
55,Aboncourt,49.266667,6.35,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
56,Aiton-Bourgneuf,45.566667,6.25,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
57,Colomiers,43.616667,1.35,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
58,Colomiers,43.603734,1.334221,57,FR,Europe/Paris,FALSE,TRUE,FALSE
59,Colomiers Lycee International,43.6163055,1.3141157,57,FR,Europe/Paris,FALSE,FALSE,FALSE
60,Labege,43.533333,1.533333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
61,Labege Innopole,43.5473613,1.5129784,60,FR,Europe/Paris,FALSE,TRUE,FALSE
62,Labege Village,43.5305367,1.5329207,60,FR,Europe/Paris,FALSE,FALSE,FALSE
63,Azay-le-Rideau Mairie,47.266667,0.466667,5083,FR,Europe/Paris,FALSE,FALSE,FALSE
64,Albas,44.466667,1.233333,9007,FR,Europe/Paris,FALSE,TRUE,FALSE
65,Abancourt,49.6852237,1.7743058,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
66,Lunel,43.683333,4.133333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
67,Lunel-Viel,43.6811729,4.0937398,66,FR,Europe/Paris,FALSE,FALSE,FALSE
68,Lunel,43.679392,4.131086,66,FR,Europe/Paris,FALSE,TRUE,FALSE
